date,pick,buy_hit,sell_hit,signals,held,day_pnl,portfolio,top3,month
2026-02-04,NAVER,5,2,"GC,MACD,BB회귀,W패턴,STO_GC",NAVER,-0.7499999999999951,10886621.307936477,NAVER | 카카오 | 삼성전기,2026-02
2026-02-05,HMM,6,2,"GC,MACD,BB회귀,W패턴,200일선,STO_GC",HMM,-1.3157937027406086,10728183.35013908,HMM | 기업은행 | KT&G,2026-02
2026-02-06,기업은행,3,1,"GC,BB회귀,W패턴",기업은행,-1.960791279375973,10661433.330148399,기업은행 | KT&G | 셀트리온,2026-02
2026-02-09,셀트리온,5,2,"GC,RSI탈출,BB회귀,W패턴,STO_GC",셀트리온,2.197804710030282,10990610.949675757,셀트리온 | KT&G | 하나금융지주,2026-02
2026-02-10,셀트리온,6,2,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",셀트리온,1.33333226388892,10846591.864597633,셀트리온 | HMM | 삼성바이오로직스,2026-02
2026-02-11,HMM,7,2,"GC,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",HMM,1.7543821776893287,10754807.08338554,HMM | SK이노베이션 | LG화학,2026-02
2026-02-12,셀트리온,6,2,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",셀트리온,-1.8518512143351096,10806491.168548768,셀트리온 | 삼성바이오로직스 | SK이노베이션,2026-02
2026-02-13,HMM,7,2,"GC,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",HMM,1.4675029336919998,11093354.368378943,HMM | LG화학 | 기아,2026-02
2026-02-19,HMM,7,2,"GC,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",HMM,7.092203208698411,11712688.602142544,HMM | 셀트리온 | 기아,2026-02
2026-02-20,기아,6,2,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",기아,2.6490031029238637,12087366.200537864,기아 | LG화학 | 현대차,2026-02
2026-02-23,LG화학,6,0,"GC,MACD,BB회귀,W패턴,STO_GC,피보나치",LG화학,2.8218720378609063,12043529.998789553,LG화학 | 삼성바이오로직스 | 기아,2026-02
2026-02-24,기아,6,2,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",기아,-1.179945443263375,12301199.591925982,기아 | 현대차 | 셀트리온,2026-02
2026-02-25,삼성바이오로직스,7,1,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",삼성바이오로직스,2.628504594402581,12426855.183080297,삼성바이오로직스 | LG화학 | LG에너지솔루션,2026-02
2026-02-26,LG에너지솔루션,6,1,"GC,MACD,BB회귀,W패턴,STO_GC,피보나치",LG에너지솔루션,0.29019152640743506,12273036.483080296,LG에너지솔루션 | 삼성바이오로직스 | 기아,2026-02
2026-02-27,삼성바이오로직스,6,0,"GC,RSI탈출,MACD,BB회귀,W패턴,피보나치",삼성바이오로직스,-2.665121668597914,12158168.483080294,삼성바이오로직스 | LG에너지솔루션 | 현대모비스,2026-02
2026-03-03,카카오,7,0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",카카오,0.8522727272727293,11181464.426525172,카카오 | 삼성바이오로직스 | LG화학,2026-03
2026-03-04,고려아연,4,2,"GC,MACD,W패턴,STO_GC",고려아연,-12.643676119070403,9475154.362318804,고려아연 | 기아 | LG화학,2026-03
2026-03-05,고려아연,3,4,"GC,MACD,STO_GC",고려아연,-3.243241581434031,10087333.6461221,고려아연 | LG에너지솔루션 | 카카오,2026-03
2026-03-06,삼성바이오로직스,6,4,"GC,RSI탈출,MACD,BB회귀,200일선,STO_GC",삼성바이오로직스,-2.905026430947899,10142647.763961283,삼성바이오로직스 | 고려아연 | LG에너지솔루션,2026-03
2026-03-09,카카오,5,4,"GC,RSI탈출,MACD,BB회귀,STO_GC",카카오,-3.4696406443618377,9662414.198961282,카카오 | LG화학 | 현대모비스,2026-03
2026-03-10,삼성바이오로직스,3,5,"GC,MACD,STO_GC",삼성바이오로직스,3.3932135728542923,9631068.328961281,삼성바이오로직스 | 카카오 | 현대모비스,2026-03
2026-03-11,삼성바이오로직스,6,4,"GC,RSI탈출,MACD,BB회귀,200일선,STO_GC",삼성바이오로직스,-0.48840048840048667,9998574.32896128,삼성바이오로직스 | 카카오 | LG에너지솔루션,2026-03
2026-03-12,삼성바이오로직스,7,4,"GC,RSI탈출,BB회귀,W패턴,200일선,STO_GC,피보나치",삼성바이오로직스,1.2269938650306678,9783804.328961277,삼성바이오로직스 | 고려아연 | HMM,2026-03
2026-03-13,LG에너지솔루션,4,3,"BB회귀,W패턴,200일선,STO_GC",LG에너지솔루션,-3.6969696969696986,9520918.728961276,LG에너지솔루션 | SK이노베이션 | HMM,2026-03
2026-03-16,카카오,4,3,"GC,RSI탈출,BB회귀,STO_GC",카카오,-0.40540540540540126,9356991.743961275,카카오 | 한국전력 | NAVER,2026-03
2026-03-17,SK하이닉스,3,2,"GC,W패턴,STO_GC",SK하이닉스,0.39292730844793233,9151653.620184163,SK하이닉스 | KB금융 | SK텔레콤,2026-03
2026-03-18,LG에너지솔루션,4,2,"BB회귀,W패턴,200일선,STO_GC",LG에너지솔루션,-0.8919659596289264,9232856.480482457,LG에너지솔루션 | SK이노베이션 | 한국전력,2026-03
2026-03-19,SK이노베이션,6,2,"GC,RSI탈출,BB회귀,200일선,STO_GC,피보나치",SK이노베이션,-4.097311139564663,8876190.680482458,SK이노베이션 | 메리츠금융지주 | LG에너지솔루션,2026-03
2026-03-20,신한지주,3,0,"RSI탈출,BB회귀,W패턴",신한지주,0.08944543828264262,9170209.109698858,신한지주 | SK하이닉스 | KB금융,2026-03
2026-03-23,SK이노베이션,6,1,"GC,RSI탈출,BB회귀,200일선,STO_GC,피보나치",SK이노베이션,-1.981232245349207,8351651.300409596,SK이노베이션 | 기업은행 | LG에너지솔루션,2026-03
2026-03-24,삼성생명,3,2,"GC,MACD,STO_GC",삼성생명,-1.980198019801982,8370589.235409597,삼성생명 | SK하이닉스 | 삼성전자,2026-03
