date,side,tic,name,qty,price,buy_hit,sell_hit,signals,reason,pnl_pct,hold_days
2026-05-18,BUY,017670,SK텔레콤,79,101355.1180659204,4.0,5.0,"GC,MACD,W패턴,STO_GC",매수4개 1위,,
2026-05-19,SELL,017670,SK텔레콤,79,98181.57329516376,,,,손절(갭)-3.1%,-3.1311144728701223,1.0
2026-05-19,BUY,011200,HMM,388,20050.0,5.0,1.0,"지지반등,BB회귀,W패턴,200일선,STO_GC",매수5개 1위,,
2026-05-20,SELL,011200,HMM,388,19448.5,,,,손절-3%,-3.0000000000000027,1.0
2026-05-20,BUY,017670,SK텔레콤,76,98776.61525229357,4.0,4.0,"GC,MACD,W패턴,STO_GC",매수4개 1위,,
2026-05-21,SELL,017670,SK텔레콤,76,101739.91370986239,,,,익절+3%,3.0000000000000027,1.0
2026-05-21,BUY,017670,SK텔레콤,76,101652.6363387646,5.0,3.0,"GC,MACD,BB회귀,W패턴,STO_GC",매수5개 1위,,
2026-05-22,SELL,017670,SK텔레콤,76,109388.15403088521,,,,익절(갭)+7.6%,7.60975609756096,1.0
2026-05-22,BUY,011200,HMM,408,20350.0,5.0,0.0,"RSI탈출,BB회귀,W패턴,200일선,STO_GC",매수5개 1위,,
2026-05-27,SELL,011200,HMM,408,19739.5,,,,손절-3%,-3.0000000000000027,2.0
2026-05-27,BUY,207940,삼성바이오로직스,5,1415000.0,4.0,0.0,"RSI탈출,MACD,BB회귀,STO_GC",매수4개 1위,,
2026-05-28,SELL,207940,삼성바이오로직스,5,1372550.0,,,,손절-3%,-3.0000000000000027,1.0
2026-05-29,BUY,006400,삼성SDI,11,680000.0,4.0,1.0,"RSI탈출,BB회귀,W패턴,STO_GC",매수4개 1위,,
2026-06-01,SELL,006400,삼성SDI,11,659600.0,,,,손절-3%,-3.0000000000000027,1.0
2026-06-01,BUY,035420,NAVER,30,251000.0,8.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",매수8개 1위,,
2026-06-02,SELL,035420,NAVER,30,285000.0,,,,익절(갭)+13.5%,13.545816733067738,1.0
2026-06-02,BUY,035420,NAVER,30,285000.0,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",매수6개 1위,,
2026-06-04,SELL,035420,NAVER,30,267500.0,,,,손절(갭)-6.1%,-6.140350877192979,1.0
