date,side,tic,name,qty,price,buy_hit,signals,reason,amount,pnl_pct,hold_days
2026-01-28,BUY,138040,메리츠금융지주,5,110000.0,7.0,"GC,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",TOP5 1/5 배분,550000.0,,
2026-01-28,BUY,024110,기업은행,30,20734.32661637931,7.0,"GC,RSI탈출,MACD,BB회귀,거래량돌파,W패턴,STO_GC",TOP5 1/5 배분,622029.7984913792,,
2026-01-28,BUY,035720,카카오,10,62412.54392951052,6.0,"GC,MACD,BB회귀,W패턴,STO_GC,피보나치",TOP5 1/5 배분,624125.4392951052,,
2026-01-28,BUY,033780,KT&G,4,140313.85714285713,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,561255.4285714285,,
2026-01-28,BUY,035420,NAVER,2,282037.34797297296,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,564074.6959459459,,
2026-02-02,SELL,051910,LG화학,2,304491.86099659605,,,손절-10%,,-9.999999999999998,13.0
2026-02-02,BUY,138040,메리츠금융지주,1,115100.0,6.0,"GC,MACD,BB회귀,W패턴,200일선,피보나치",TOP5 1/5 배분,115100.0,,
2026-02-02,BUY,033780,KT&G,1,151519.47453741112,6.0,"GC,MACD,BB회귀,거래량돌파,W패턴,STO_GC",TOP5 1/5 배분,151519.47453741112,,
2026-02-02,BUY,024110,기업은행,7,21212.076530246562,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,148484.53571172594,,
2026-02-02,BUY,035720,카카오,2,60415.342733304795,4.0,"GC,MACD,W패턴,STO_GC",TOP5 1/5 배분,120830.68546660959,,
2026-02-05,SELL,035420,NAVER,2,253833.61317567568,,,손절-10%,,-9.999999999999998,6.0
2026-02-05,BUY,011200,HMM,8,19791.04618226601,6.0,"GC,MACD,BB회귀,W패턴,200일선,STO_GC",TOP5 1/5 배분,158328.3694581281,,
2026-02-05,BUY,024110,기업은행,7,21737.599885360054,4.0,"GC,MACD,BB회귀,W패턴",TOP5 1/5 배분,152163.1991975204,,
2026-02-05,BUY,033780,KT&G,1,157658.203125,4.0,"MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,157658.203125,,
2026-02-06,SELL,035720,카카오,15,55931.62569617506,,,손절-10%,,-9.999999999999998,23.0
2026-02-06,BUY,024110,기업은행,10,21737.599885360054,3.0,"GC,BB회귀,W패턴",TOP5 1/5 배분,217375.99885360053,,
2026-02-06,BUY,033780,KT&G,1,158827.49196264544,3.0,"MACD,W패턴,STO_GC",TOP5 1/5 배분,158827.49196264544,,
2026-02-06,BUY,068270,셀트리온,1,201904.765625,3.0,"RSI탈출,BB회귀,STO_GC",TOP5 1/5 배분,201904.765625,,
2026-02-06,BUY,011200,HMM,12,19402.985074626868,3.0,"MACD,W패턴,STO_GC",TOP5 1/5 배분,232835.82089552243,,
2026-02-11,SELL,105560,KB금융,2,152903.92690919453,,,익절+30%(익일시가),,27.017157523975776,104.0
2026-02-11,SELL,086790,하나금융지주,8,119114.39748112083,,,익절+30%(익일시가),,26.13548339967988,27.0
2026-02-11,BUY,011200,HMM,15,20955.22468824228,7.0,"GC,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",TOP5 1/5 배분,314328.3703236342,,
2026-02-11,BUY,096770,SK이노베이션,2,112800.0,5.0,"MACD,BB회귀,W패턴,200일선,STO_GC",TOP5 1/5 배분,225600.0,,
2026-02-11,BUY,051910,LG화학,1,321929.69651162793,5.0,"RSI탈출,BB회귀,W패턴,STO_GC,피보나치",TOP5 1/5 배분,321929.69651162793,,
2026-02-11,BUY,068270,셀트리온,1,220952.375,4.0,"GC,MACD,W패턴,STO_GC",TOP5 1/5 배분,220952.375,,
2026-02-12,SELL,316140,우리금융지주,7,38717.11236829502,,,익절+30%(익일시가),,38.98600756446433,14.0
2026-02-12,BUY,096770,SK이노베이션,1,114400.0,5.0,"MACD,BB회귀,W패턴,STO_GC,피보나치",TOP5 1/5 배분,114400.0,,
2026-02-12,BUY,000270,기아,1,156336.92723992784,4.0,"RSI탈출,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,156336.92723992784,,
2026-02-20,SELL,009150,삼성전기,2,357000.0,,,익절+30%(익일시가),,29.81818181818181,26.0
2026-02-20,BUY,000270,기아,1,162946.7560117142,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,162946.7560117142,,
2026-02-20,BUY,068270,셀트리온,1,230952.375,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,230952.375,,
2026-02-20,BUY,096770,SK이노베이션,2,121700.0,5.0,"MACD,BB회귀,W패턴,STO_GC,피보나치",TOP5 1/5 배분,243400.0,,
2026-02-23,SELL,024110,기업은행,72,27709.469958563535,,,익절+30%(익일시가),,35.61524254964829,74.0
2026-02-23,SELL,138040,메리츠금융지주,6,147500.0,,,익절+30%(익일시가),,33.06269733874605,14.0
2026-02-23,BUY,051910,LG화학,2,336833.8728383459,6.0,"GC,MACD,BB회귀,W패턴,STO_GC,피보나치",TOP5 1/5 배분,673667.7456766918,,
2026-02-23,BUY,000270,기아,4,167544.9049562102,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,670179.6198248408,,
2026-02-23,BUY,096770,SK이노베이션,5,128300.0,5.0,"MACD,BB회귀,거래량돌파,W패턴,STO_GC",TOP5 1/5 배분,641500.0,,
2026-02-23,BUY,011200,HMM,30,22507.46309912854,5.0,"GC,MACD,BB회귀,거래량돌파,W패턴",TOP5 1/5 배분,675223.8929738562,,
2026-02-24,SELL,034730,SK,1,371408.3222133758,,,익절+30%(익일시가),,27.824616853304953,24.0
2026-02-24,BUY,000270,기아,1,164000.49885057472,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,164000.49885057472,,
2026-02-24,BUY,068270,셀트리온,1,234761.90625,4.0,"GC,MACD,BB회귀,W패턴",TOP5 1/5 배분,234761.90625,,
2026-02-24,BUY,096770,SK이노베이션,1,129500.0,4.0,"MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,129500.0,,
2026-02-26,SELL,028260,삼성물산,3,347500.0,,,익절+30%(익일시가),,29.74486621032981,31.0
